:START_ID,:END_ID,:TYPE
88,634,TAGGED
88,641,TAGGED
88,483,TAGGED
88,477,TAGGED
89,631,TAGGED
89,660,TAGGED
89,477,TAGGED
90,661,TAGGED
90,662,TAGGED
90,663,TAGGED
91,664,TAGGED
91,527,TAGGED
91,665,TAGGED
92,597,TAGGED
92,666,TAGGED
92,667,TAGGED
92,651,TAGGED
92,668,TAGGED
92,669,TAGGED
93,670,TAGGED
93,503,TAGGED
93,629,TAGGED
93,644,TAGGED
93,477,TAGGED
94,670,TAGGED
94,503,TAGGED
94,629,TAGGED
94,644,TAGGED
94,477,TAGGED
95,465,TAGGED
95,671,TAGGED
95,503,TAGGED
95,555,TAGGED
95,485,TAGGED
95,617,TAGGED
95,672,TAGGED
96,673,TAGGED
96,582,TAGGED
96,488,TAGGED
97,591,TAGGED
97,674,TAGGED
97,675,TAGGED
97,536,TAGGED
97,676,TAGGED
97,615,TAGGED
98,447,TAGGED
98,677,TAGGED
98,451,TAGGED
99,536,TAGGED
99,546,TAGGED
99,527,TAGGED
99,491,TAGGED
100,678,TAGGED
100,679,TAGGED
100,680,TAGGED
101,681,TAGGED
101,541,TAGGED
101,463,TAGGED
102,682,TAGGED
102,501,TAGGED
102,683,TAGGED
103,684,TAGGED
103,516,TAGGED
103,685,TAGGED
104,686,TAGGED
104,687,TAGGED
104,688,TAGGED
105,572,TAGGED
105,681,TAGGED
105,468,TAGGED
106,631,TAGGED
106,548,TAGGED
106,683,TAGGED
107,503,TAGGED
107,689,TAGGED
107,690,TAGGED
108,691,TAGGED
108,541,TAGGED
108,503,TAGGED
109,503,TAGGED
109,585,TAGGED
109,580,TAGGED
110,692,TAGGED
110,693,TAGGED
110,694,TAGGED
110,503,TAGGED
111,695,TAGGED
111,503,TAGGED
111,651,TAGGED
112,481,TAGGED
112,503,TAGGED
112,629,TAGGED
113,447,TAGGED
113,591,TAGGED
113,696,TAGGED
114,567,TAGGED
114,485,TAGGED
114,696,TAGGED
115,608,TAGGED
115,697,TAGGED
115,698,TAGGED
116,699,TAGGED
116,642,TAGGED
116,700,TAGGED
117,632,TAGGED
117,701,TAGGED
117,633,TAGGED
117,702,TAGGED
117,703,TAGGED
117,704,TAGGED
117,705,TAGGED
118,447,TAGGED
118,631,TAGGED
118,706,TAGGED
118,522,TAGGED
119,447,TAGGED
119,707,TAGGED
119,708,TAGGED
120,634,TAGGED
120,457,TAGGED
120,503,TAGGED
120,615,TAGGED
121,541,TAGGED
121,709,TAGGED
121,710,TAGGED
122,591,TAGGED
122,582,TAGGED
122,660,TAGGED
123,503,TAGGED
123,711,TAGGED
123,712,TAGGED
124,666,TAGGED
124,503,TAGGED
124,713,TAGGED
125,714,TAGGED
125,715,TAGGED
125,716,TAGGED
126,515,TAGGED
126,677,TAGGED
126,615,TAGGED
127,717,TAGGED
127,568,TAGGED
127,503,TAGGED
138,478,TAGGED
138,582,TAGGED
138,667,TAGGED
139,718,TAGGED
139,719,TAGGED
139,720,TAGGED
140,721,TAGGED
140,722,TAGGED
140,523,TAGGED
140,723,TAGGED
141,724,TAGGED
141,725,TAGGED
141,582,TAGGED
142,726,TAGGED
142,456,TAGGED
142,727,TAGGED
143,674,TAGGED
143,536,TAGGED
143,617,TAGGED
143,728,TAGGED
144,729,TAGGED
144,730,TAGGED
144,466,TAGGED
144,731,TAGGED
144,732,TAGGED
145,733,TAGGED
145,734,TAGGED
145,457,TAGGED
146,735,TAGGED
146,503,TAGGED
146,736,TAGGED
146,737,TAGGED
147,674,TAGGED
147,738,TAGGED
147,676,TAGGED
148,450,TAGGED
148,739,TAGGED
148,592,TAGGED
149,740,TAGGED
149,676,TAGGED
149,741,TAGGED
150,562,TAGGED
150,483,TAGGED
150,742,TAGGED
150,626,TAGGED
150,725,TAGGED
150,743,TAGGED
150,582,TAGGED
150,744,TAGGED
150,745,TAGGED
150,707,TAGGED
150,746,TAGGED
150,747,TAGGED
150,564,TAGGED
151,748,TAGGED
151,552,TAGGED
151,581,TAGGED
151,749,TAGGED
151,732,TAGGED
151,750,TAGGED
151,751,TAGGED
151,752,TAGGED
151,753,TAGGED
151,754,TAGGED
152,755,TAGGED
152,730,TAGGED
152,756,TAGGED
152,757,TAGGED
153,484,TAGGED
153,592,TAGGED
153,451,TAGGED
154,758,TAGGED
154,759,TAGGED
154,760,TAGGED
155,761,TAGGED
155,503,TAGGED
155,477,TAGGED
156,762,TAGGED
156,763,TAGGED
156,764,TAGGED
157,538,TAGGED
157,617,TAGGED
157,703,TAGGED
158,765,TAGGED
158,766,TAGGED
158,629,TAGGED
159,467,TAGGED
159,571,TAGGED
159,484,TAGGED
159,464,TAGGED
159,468,TAGGED
160,734,TAGGED
160,767,TAGGED
160,451,TAGGED
161,758,TAGGED
161,459,TAGGED
161,615,TAGGED
162,447,TAGGED
162,465,TAGGED
162,468,TAGGED
163,447,TAGGED
163,582,TAGGED
163,465,TAGGED
163,576,TAGGED
163,593,TAGGED
163,467,TAGGED
163,464,TAGGED
163,607,TAGGED
163,522,TAGGED
163,468,TAGGED
163,523,TAGGED
164,768,TAGGED
164,530,TAGGED
164,532,TAGGED
165,664,TAGGED
165,527,TAGGED
165,769,TAGGED
166,770,TAGGED
166,562,TAGGED
166,771,TAGGED
166,772,TAGGED
166,453,TAGGED
166,773,TAGGED
167,447,TAGGED
167,515,TAGGED
167,523,TAGGED
168,774,TAGGED
168,576,TAGGED
168,672,TAGGED
169,775,TAGGED
169,776,TAGGED
169,777,TAGGED
169,516,TAGGED
169,677,TAGGED
170,464,TAGGED
170,468,TAGGED
170,453,TAGGED
171,447,TAGGED
171,778,TAGGED
171,503,TAGGED
172,465,TAGGED
172,779,TAGGED
172,780,TAGGED
173,781,TAGGED
173,782,TAGGED
173,771,TAGGED
174,783,TAGGED
174,784,TAGGED
174,499,TAGGED
175,450,TAGGED
175,515,TAGGED
175,592,TAGGED
176,450,TAGGED
176,785,TAGGED
176,786,TAGGED
176,787,TAGGED
176,503,TAGGED
176,788,TAGGED
176,451,TAGGED
177,463,TAGGED
177,607,TAGGED
177,629,TAGGED
178,789,TAGGED
178,463,TAGGED
178,790,TAGGED
179,734,TAGGED
179,666,TAGGED
179,503,TAGGED
180,493,TAGGED
180,503,TAGGED
180,464,TAGGED
181,791,TAGGED
181,589,TAGGED
181,792,TAGGED
181,491,TAGGED
182,793,TAGGED
182,794,TAGGED
182,530,TAGGED
182,795,TAGGED
183,734,TAGGED
183,696,TAGGED
183,754,TAGGED
184,569,TAGGED
184,796,TAGGED
184,590,TAGGED
184,523,TAGGED
184,696,TAGGED
185,671,TAGGED
185,568,TAGGED
185,477,TAGGED
186,699,TAGGED
186,797,TAGGED
186,499,TAGGED
187,555,TAGGED
187,798,TAGGED
187,523,TAGGED
188,635,TAGGED
188,683,TAGGED
188,580,TAGGED
189,799,TAGGED
189,546,TAGGED
189,800,TAGGED
190,801,TAGGED
190,503,TAGGED
190,580,TAGGED
191,462,TAGGED
191,468,TAGGED
191,580,TAGGED
192,447,TAGGED
192,802,TAGGED
192,573,TAGGED
192,451,TAGGED
193,803,TAGGED
193,699,TAGGED
193,804,TAGGED
194,572,TAGGED
194,681,TAGGED
194,468,TAGGED
195,459,TAGGED
195,805,TAGGED
195,477,TAGGED
196,598,TAGGED
196,806,TAGGED
196,633,TAGGED
196,703,TAGGED
197,447,TAGGED
197,484,TAGGED
197,451,TAGGED
198,450,TAGGED
198,807,TAGGED
198,808,TAGGED
199,809,TAGGED
199,725,TAGGED
199,810,TAGGED
200,503,TAGGED
200,617,TAGGED
200,523,TAGGED
201,811,TAGGED
201,812,TAGGED
201,813,TAGGED
201,814,TAGGED
201,712,TAGGED
201,629,TAGGED
202,815,TAGGED
202,816,TAGGED
202,491,TAGGED
203,817,TAGGED
203,535,TAGGED
203,503,TAGGED
204,818,TAGGED
204,731,TAGGED
204,819,TAGGED
205,591,TAGGED
205,640,TAGGED
205,460,TAGGED
206,820,TAGGED
206,821,TAGGED
206,543,TAGGED
207,656,TAGGED
207,536,TAGGED
207,822,TAGGED
208,823,TAGGED
208,824,TAGGED
208,825,TAGGED
209,826,TAGGED
209,619,TAGGED
209,503,TAGGED
210,827,TAGGED
210,759,TAGGED
210,828,TAGGED
210,829,TAGGED
211,479,TAGGED
211,668,TAGGED
211,480,TAGGED
212,489,TAGGED
212,490,TAGGED
212,491,TAGGED
213,661,TAGGED
213,830,TAGGED
213,831,TAGGED
213,629,TAGGED
213,512,TAGGED
214,681,TAGGED
214,465,TAGGED
214,612,TAGGED
214,832,TAGGED
215,635,TAGGED
215,812,TAGGED
215,503,TAGGED
215,712,TAGGED
216,482,TAGGED
216,833,TAGGED
216,516,TAGGED
216,578,TAGGED
217,725,TAGGED
217,503,TAGGED
217,578,TAGGED
218,597,TAGGED
218,557,TAGGED
218,834,TAGGED
219,758,TAGGED
219,835,TAGGED
219,836,TAGGED
219,495,TAGGED
220,837,TAGGED
220,838,TAGGED
220,527,TAGGED
221,635,TAGGED
221,542,TAGGED
221,839,TAGGED
221,712,TAGGED
221,840,TAGGED
221,543,TAGGED
222,783,TAGGED
222,674,TAGGED
222,841,TAGGED
222,644,TAGGED
223,842,TAGGED
223,843,TAGGED
223,844,TAGGED
224,845,TAGGED
224,631,TAGGED
224,844,TAGGED
224,846,TAGGED
224,451,TAGGED
225,513,TAGGED
225,450,TAGGED
225,847,TAGGED
225,457,TAGGED
225,780,TAGGED
225,451,TAGGED
