:ID,company,twitter,name,id,image,:LABEL
259,AWS,@olivierleplus,Olivier Leplus,16714,https://lh3.googleusercontent.com/a-/AOh14GjF6jwddA2Cbx-7yJ7stFGwdoFwFIL-6d5VcxKJakw=s96-c,Speaker
260,Miro,,William Bishop,20553,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-5f10121c-5bdb-4adc-9d71-60eef2a5c107.jpg,Speaker
261,Miro,@fred_estrela,Frederico Estrela Gaiva,49402,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-18874341-dcd1-4092-8e56-1e13be85be38.png,Speaker
262,Hazelcast,@kubem,Jakub Marchwicki,16723,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-1e683535-195f-445d-b1ac-3251469237f4.png,Speaker
263,ASML,,Alexey Nesterenko,14122,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-014b27f1-3820-49eb-a957-424dfcc3ba4e.jpg,Speaker
264,Oracle,@JosePaumard,José Paumard,16701,https://lh3.googleusercontent.com/a-/AOh14GhsVIUuTR9Onoo-D8UMW5QId2Yw1V_EUvqdWdNQ0RQ=s96-c,Speaker
265,Tetrate,@boeboe81,Bart Van Bos,49952,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-676d92ef-0b08-42e3-a90d-a48caf42a5fe.jpg,Speaker
266,Tetrate,,Eitan  Suez,8151,https://lh3.googleusercontent.com/a-/AOh14GilQccDaeCEEyx0UPvVX4qdUyjUmu7i1aqRDIjR=s96-c,Speaker
267,OpenValue,@de_gijt,Simone de Gijt,17933,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-71a10081-e125-41fd-a466-fa6de4ef040d.jpeg,Speaker
268,adidas,@thamarswart,Thamar Swart,20559,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-42a2fa99-3d2d-431c-b395-7fe576714a08.png,Speaker
269,CodinGame,@MathisHammel,Mathis Hammel,17651,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-MathisHammel.jpg,Speaker
270,Red Hat,@alexsnaps,Alex Snaps,20055,https://lh3.googleusercontent.com/a-/AOh14GhQb4KqgoPz8CKWKD4dcFvI4LmalPmTIDo5cFC8=s96-c,Speaker
271,iO,@mrtnvh,Maarten Van Hoof,16073,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-631ae8ff-96d9-4eea-a1d5-1b3343e67560.jpg,Speaker
272,Netcompany-Intrasoft,,Raimund Broechler,53451,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-2f0e0723-602a-4ffa-aaec-70206356e2b5.jpg,Speaker
273,Lunatech,,Michaël Strauss,20075,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-8c03abb6-c748-455c-82fa-19bbf74b71c2.jpg,Speaker
274,Hymaïa,@YoannBENOIT,Yoann Benoit,14112,https://lh3.googleusercontent.com/a-/AOh14GibI70L4ukC_S2JCsy8RW5agSf1G4dnvyNBnj8n=s96-c,Speaker
275,QuestDB,@ilyusvl,Vlad Ilyushchenko,39051,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-38cd39e3-2ed3-4088-b928-15bab71eb480.jpeg,Speaker
276,OpenValue,@bjschrijver,Bert Jan Schrijver,1863,https://avatars.githubusercontent.com/u/4464854?v=4,Speaker
277,Snyk,@BrianVerm,Brian Vermeer,11603,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-663b8d4f-0084-4194-8013-7e5b1ff078a1.png,Speaker
278,"Agile Developer, Inc.",@venkat_s,Venkat Subramaniam,47951,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-venkat_s.jpg,Speaker
279,Novatec,@maeddes,Matthias Haeussler,16060,https://avatars.githubusercontent.com/u/11751587?v=4,Speaker
280,BB Consulting,@DaggieBe,Bart Blommaerts,1865,https://avatars.githubusercontent.com/u/3988458?v=4,Speaker
281,Docker,@glours,Guillaume Lours,17944,https://devoxxian-image-thumbnails.s3-eu-west-1.amazonaws.com/profile-df4f0c11-6388-41de-b018-0fa49ff5a146.jpg,Speaker
